timestamp(ms);RCOU.C1;RCOU.C8;SERVO;THRUST
167770.553;1400;1350;0;1
167870.553;1331;1350;-1;1
167970.553;1250;1350;-1;1
168070.553;1124;1350;-1;1
168170.553;1100;1350;-1;1
168270.553;1100;1350;-1;1
168370.553;1100;1350;-1;1
168470.553;1100;1350;-1;1
168570.553;1101;1350;-1;1
168670.553;1100;1350;-1;1
168770.553;1100;1350;-1;1
168870.553;1100;1350;-1;1
168970.553;1100;1350;-1;1
169070.553;1100;1350;-1;1
169170.553;1100;1350;-1;1
169270.553;1100;1350;-1;1
169370.553;1100;1350;-1;1
169470.553;1100;1350;-1;1
169570.553;1100;1350;-1;1
169670.553;1100;1350;-1;1
169770.553;1100;1350;-1;1
169870.553;1100;1350;-1;1
169970.553;1100;1350;-1;1
170070.553;1100;1350;-1;1
170170.553;1100;1350;-1;1
170270.553;1100;1350;-1;1
170370.553;1100;1350;-1;1
170470.553;1100;1350;-1;1
170570.553;1100;1350;-1;1
170670.553;1100;1350;-1;1
170770.553;1100;1350;-1;1
170870.553;1100;1350;-1;1
170970.553;1100;1350;-1;1
171070.553;1100;1350;-1;1
171170.553;1100;1350;-1;1
171270.553;1100;1350;-1;1
171370.553;1100;1350;-1;1
171470.553;1100;1350;-1;1
171570.553;1100;1350;-1;1
171670.553;1100;1350;-1;1
171770.553;1100;1350;-1;1
171870.553;1100;1350;-1;1
171970.553;1100;1350;-1;1
172070.553;1100;1350;-1;1
172170.553;1100;1350;-1;1
172270.553;1100;1350;-1;1
172370.553;1100;1350;-1;1
172470.553;1100;1350;-1;1
172570.553;1100;1350;-1;1
172670.553;1100;1350;-1;1
172770.553;1100;1350;-1;1
172870.553;1100;1350;-1;1
172970.553;1100;1350;-1;1
173070.553;1100;1350;-1;1
173170.553;1100;1350;-1;1
173270.553;1100;1350;-1;1
173370.553;1100;1350;-1;1
173470.553;1100;1350;-1;1
173570.553;1100;1350;-1;1
173670.553;1100;1350;-1;1
173770.553;1100;1350;-1;1
173870.553;1100;1350;-1;1
173970.553;1100;1350;-1;1
174070.553;1100;1350;-1;1
174170.553;1100;1350;-1;1
174270.553;1100;1350;-1;1
174370.553;1100;1350;-1;1
174470.553;1100;1350;-1;1
174570.553;1100;1350;-1;1
174670.553;1100;1350;-1;1
174770.553;1100;1350;-1;1
174870.553;1100;1350;-1;1
174970.553;1100;1350;-1;1
175070.553;1100;1350;-1;1
175170.553;1100;1350;-1;1
175270.553;1100;1350;-1;1
175370.553;1100;1350;-1;1
175470.553;1100;1350;-1;1
175570.553;1100;1350;-1;1
175670.553;1100;1350;-1;1
175770.553;1100;1350;-1;1
175870.553;1100;1350;-1;1
175970.553;1100;1350;-1;1
176070.553;1100;1350;-1;1
176170.553;1100;1350;-1;1
176270.553;1100;1350;-1;1
176370.553;1100;1350;-1;1
176470.553;1100;1350;-1;1
176570.553;1100;1350;-1;1
176670.553;1100;1350;-1;1
176770.553;1100;1350;-1;1
176870.553;1100;1350;-1;1
176970.553;1100;1350;-1;1
177070.553;1100;1350;-1;1
177170.553;1100;1350;-1;1
177270.553;1100;1350;-1;1
177370.553;1100;1350;-1;1
177470.553;1100;1350;-1;1
177570.553;1100;1350;-1;1
177670.553;1100;1350;-1;1
177770.553;1100;1350;-1;1
177870.553;1100;1350;-1;1
177970.553;1100;1350;-1;1
178070.553;1100;1350;-1;1
178170.553;1100;1350;-1;1
178270.553;1100;1350;-1;1
178370.553;1100;1350;-1;1
178470.553;1100;1350;-1;1
178570.553;1100;1350;-1;1
178670.553;1100;1350;-1;1
178770.553;1100;1350;-1;1
178870.553;1100;1350;-1;1
178970.553;1100;1350;-1;1
179070.553;1100;1350;-1;1
179170.553;1100;1350;-1;1
179270.553;1100;1350;-1;1
179370.553;1100;1350;-1;1
179470.553;1100;1350;-1;1
179570.553;1100;1350;-1;1
179670.553;1100;1350;-1;1
179770.553;1100;1350;-1;1
179870.553;1100;1350;-1;1
179970.553;1100;1350;-1;1
180070.553;1100;1350;-1;1
180170.553;1100;1350;-1;1
180270.553;1100;1350;-1;1
180370.553;1100;1350;-1;1
180470.553;1100;1350;-1;1
180570.553;1100;1350;-1;1
180670.553;1100;1350;-1;1
180770.553;1100;1350;-1;1
180870.553;1100;1350;-1;1
180970.553;1100;1350;-1;1
181070.553;1100;1350;-1;1
181170.553;1100;1350;-1;1
181270.553;1100;1350;-1;1
181370.553;1100;1350;-1;1
181470.553;1100;1350;-1;1
181570.553;1100;1350;-1;1
181670.553;1100;1350;-1;1
